Year,m,d,Time,Time zone,Wind speed (m/s)
2022,4,8,00:10,UTC,10.1
2022,4,8,00:20,UTC,10.1
2022,4,8,00:30,UTC,10.2
2022,4,8,00:40,UTC,10.9
2022,4,8,00:50,UTC,10.9
2022,4,8,01:00,UTC,10.6
2022,4,8,01:10,UTC,11
2022,4,8,01:20,UTC,11.1
2022,4,8,01:30,UTC,11.4
2022,4,8,01:40,UTC,11.7
2022,4,8,01:50,UTC,11.9
2022,4,8,02:00,UTC,12.4
2022,4,8,02:10,UTC,13.2
2022,4,8,02:20,UTC,14.5
2022,4,8,02:30,UTC,14.1
2022,4,8,02:40,UTC,14.1
2022,4,8,02:50,UTC,13.8
2022,4,8,03:00,UTC,14.2
2022,4,8,03:10,UTC,15.2
2022,4,8,03:20,UTC,15.5
2022,4,8,03:30,UTC,15.5
2022,4,8,03:40,UTC,16
2022,4,8,03:50,UTC,16.2
2022,4,8,04:00,UTC,16.7
2022,4,8,04:10,UTC,17.5
2022,4,8,04:20,UTC,18.5
2022,4,8,04:30,UTC,18.5
2022,4,8,04:40,UTC,17.6
2022,4,8,04:50,UTC,18.3
2022,4,8,05:00,UTC,18.6
2022,4,8,05:10,UTC,18.6
2022,4,8,05:20,UTC,19.1
2022,4,8,05:30,UTC,18.4
2022,4,8,05:40,UTC,18.9
2022,4,8,05:50,UTC,18
2022,4,8,06:00,UTC,18.5
2022,4,8,06:10,UTC,17.7
2022,4,8,06:20,UTC,17.1
2022,4,8,06:30,UTC,17.6
2022,4,8,06:40,UTC,16
2022,4,8,06:50,UTC,16.6
2022,4,8,07:00,UTC,15.4
2022,4,8,07:10,UTC,14.6
2022,4,8,07:20,UTC,13.8
2022,4,8,07:30,UTC,13.3
2022,4,8,07:40,UTC,12.5
2022,4,8,07:50,UTC,12.5
2022,4,8,08:00,UTC,12
2022,4,8,08:10,UTC,11.9
2022,4,8,08:20,UTC,11.4
2022,4,8,08:30,UTC,11.1
2022,4,8,08:40,UTC,10.1
2022,4,8,08:50,UTC,9.9
2022,4,8,09:00,UTC,9.5
2022,4,8,09:10,UTC,9.3
2022,4,8,09:20,UTC,9.5
2022,4,8,09:30,UTC,8.8
2022,4,8,09:40,UTC,8.7
2022,4,8,09:50,UTC,8.9
2022,4,8,10:00,UTC,8.2
2022,4,8,10:10,UTC,7.2
2022,4,8,10:20,UTC,6.2
2022,4,8,10:30,UTC,5.6
2022,4,8,10:40,UTC,4.9
2022,4,8,10:50,UTC,4.2
2022,4,8,11:00,UTC,4.3
2022,4,8,11:10,UTC,4.6
2022,4,8,11:20,UTC,4.6
2022,4,8,11:30,UTC,4.4
2022,4,8,11:40,UTC,4
2022,4,8,11:50,UTC,4.2
2022,4,8,12:00,UTC,3.7
2022,4,8,12:10,UTC,2.8
2022,4,8,12:20,UTC,2.9
2022,4,8,12:30,UTC,2.8
2022,4,8,12:40,UTC,2.6
2022,4,8,12:50,UTC,3
2022,4,8,13:00,UTC,3.3
2022,4,8,13:10,UTC,3.9
2022,4,8,13:20,UTC,4.1
2022,4,8,13:30,UTC,4
2022,4,8,13:40,UTC,4.4
2022,4,8,13:50,UTC,5.1
2022,4,8,14:00,UTC,5.3
2022,4,8,14:10,UTC,5.6
2022,4,8,14:20,UTC,5.6
2022,4,8,14:30,UTC,6.1
2022,4,8,14:40,UTC,6.5
2022,4,8,14:50,UTC,6.7
2022,4,8,15:00,UTC,6.5
2022,4,8,15:10,UTC,6.5
2022,4,8,15:20,UTC,6.4
2022,4,8,15:30,UTC,6.8
2022,4,8,15:40,UTC,7.1
2022,4,8,15:50,UTC,7
2022,4,8,16:00,UTC,7.7
2022,4,8,16:10,UTC,7.9
2022,4,8,16:20,UTC,7.8
2022,4,8,16:30,UTC,7.3
2022,4,8,16:40,UTC,7.2
2022,4,8,16:50,UTC,7.2
2022,4,8,17:00,UTC,7.2
2022,4,8,17:10,UTC,6.6
2022,4,8,17:20,UTC,6.2
2022,4,8,17:30,UTC,6.2
2022,4,8,17:40,UTC,6.6
2022,4,8,17:50,UTC,7.6
2022,4,8,18:00,UTC,7.6
2022,4,8,18:10,UTC,7.8
2022,4,8,18:20,UTC,7.9
2022,4,8,18:30,UTC,7.9
2022,4,8,18:40,UTC,7.9
2022,4,8,18:50,UTC,7.3
2022,4,8,19:00,UTC,5.4
2022,4,8,19:10,UTC,4.5
2022,4,8,19:20,UTC,4.3
2022,4,8,19:30,UTC,3.6
2022,4,8,19:40,UTC,3.8
2022,4,8,19:50,UTC,3.7
2022,4,8,20:00,UTC,3.5
2022,4,8,20:10,UTC,3.2
2022,4,8,20:20,UTC,3.6
2022,4,8,20:30,UTC,4
2022,4,8,20:40,UTC,4.1
2022,4,8,20:50,UTC,4.7
2022,4,8,21:00,UTC,5
2022,4,8,21:10,UTC,4.8
2022,4,8,21:20,UTC,4.7
2022,4,8,21:30,UTC,4.9
2022,4,8,21:40,UTC,5.2
2022,4,8,21:50,UTC,5.6
2022,4,8,22:00,UTC,5.7
2022,4,8,22:10,UTC,5.2
2022,4,8,22:20,UTC,5.3
2022,4,8,22:30,UTC,5.5
2022,4,8,22:40,UTC,6.2
2022,4,8,22:50,UTC,6.3
2022,4,8,23:00,UTC,5.8
2022,4,8,23:10,UTC,5.8
2022,4,8,23:20,UTC,6.1
2022,4,8,23:30,UTC,6.3
2022,4,8,23:40,UTC,6.3
2022,4,8,23:50,UTC,5.5
2022,4,9,00:00,UTC,4.7